Date,Region,Product,Salesperson,Units_Sold,Unit_Price,Category,Revenue,Cost,Profit,Year,Month,Month_Number
28/01/2024,North,Printer,Hannah,-5,1795,Office,-8975,-7905.695724,-1069.30,2024,Jan,1
7/01/2024,South,Printer,Charlie,-3,1140,Office,-3420,-2420.209124,-999.79,2024,Jan,1
10/05/2024,North,Laptop,Eva,-1,1093,Electronics,-1093,-700.8585424,-392.14,2024,May,5
13/06/2024,South,Tablet,Bob,8,-100,Electronics,-800,-536.6284294,-263.37,2024,Jun,6
22/11/2024,,Smartwatch,Frank,3,-50,Accessories,-150,-116.3097046,-33.69,2024,Nov,11
6/10/2024,West,Camera,Grace,4,-10,Electronics,-40,-34.41717713,-5.58,2024,Oct,10
12/05/2024,East,Printer,Eva,8,0,Office,0,0,0.00,2024,May,5
4/02/2024,South,Camera,,9,0,Electronics,0,0,0.00,2024,Feb,2
22/10/2024,North,Camera,Bob,0,1262,Electronics,0,0,0.00,2024,Oct,10
16/09/2024,North,Headphones,Grace,0,915,Accessories,0,0,0.00,2024,Sep,9
17/01/2024,East,Tablet,Frank,1,122,Electronics,122,94.42411421,27.58,2024,Jan,1
31/05/2024,South,tabllet,Hannah,1,157,Electronics,157,128.0429181,28.96,2024,May,5
24/08/2024,North,Smartwatch,Bob,1,158,Accessories,158,124.8197061,33.18,2024,Aug,8
12/05/2024,West,Printer,Charlie,1,172,Office,172,104.6762834,67.32,2024,May,5
12/06/2024,West,Headphones,Hannah,1,198,Accessories,198,143.0491365,54.95,2024,Jun,6
12/05/2024,East,Mobile,Hannah,1,204,Electronics,204,169.5491922,34.45,2024,May,5
14/10/2024,East,Mobile,Grace,1,204,Electronics,204,169.3516984,34.65,2024,Oct,10
9/02/2024,West,Smartwatch,Charlie,1,233,Accessories,233,197.8181653,35.18,2024,Feb,2
29/01/2024,West,Mobile,Hannah,1,246,Electronics,246,204.4647656,41.54,2024,Jan,1
11/11/2024,South,Printer,Grace,1,251,Office,251,150.7922852,100.21,2024,Nov,11
8/06/2024,South,Printer,David,1,251,Office,251,208.0794746,42.92,2024,Jun,6
17/11/2024,North,Printer,Grace,2,137,Office,274,196.9168496,77.08,2024,Nov,11
4/12/2024,North,Headphones,David,1,309,Accessories,309,240.9700973,68.03,2024,Dec,12
23/01/2024,South,,Hannah,2,160,Electronics,320,211.778112,108.22,2024,Jan,1
1/05/2024,East,Mobile,Hannah,1,325,Electronics,325,245.1316283,79.87,2024,May,5
21/03/2024,South,Camera,Grace,1,328,Electronics,328,276.5955962,51.40,2024,Mar,3
5/12/2024,North,Monitor,Bob,1,333,Office,333,258.5521943,74.45,2024,Dec,12
19/06/2024,North,Laptop,David,1,338,Electronics,338,212.5810545,125.42,2024,Jun,6
24/04/2024,South,Headphones,Hannah,1,339,Accessories,339,254.4841038,84.52,2024,Apr,4
18/06/2024,,Monitor,David,1,352,Office,352,251.4401627,100.56,2024,Jun,6
25/08/2024,East,Printer,Charlie,1,374,Office,374,316.5447493,57.46,2024,Aug,8
24/07/2024,East,Camera,Eva,2,199,Electronics,398,323.1308844,74.87,2024,Jul,7
27/11/2024,South,Camera,Frank,1,431,Electronics,431,303.7411216,127.26,2024,Nov,11
3/12/2024,East,Tablet,Eva,1,434,Electronics,434,357.9634404,76.04,2024,Dec,12
26/12/2024,North,Mobile,Eva,1,436,Electronics,436,363.3480306,72.65,2024,Dec,12
20/02/2024,South,Tablet,Eva,4,110,Electronics,440,312.6715687,127.33,2024,Feb,2
27/08/2024,South,Smartwatch,David,1,464,Accessories,464,350.4141743,113.59,2024,Aug,8
24/05/2024,West,Printer,Alice,1,468,Office,468,405.5690713,62.43,2024,May,5
24/04/2024,East,Headphones,,4,125,Accessories,500,330.007385,169.99,2024,Apr,4
13/12/2024,West,Printer,Hannah,4,138,Office,552,459.2617164,92.74,2024,Dec,12
7/10/2024,,Printer,Frank,1,554,Office,554,403.1166729,150.88,2024,Oct,10
3/02/2024,West,Printer,Grace,5,111,Office,555,339.4621948,215.54,2024,Feb,2
5/03/2024,South,Camera,Eva,1,562,Electronics,562,434.4671791,127.53,2024,Mar,3
2/05/2024,,Camera,David,4,142,Electronics,568,415.6233978,152.38,2024,May,5
20/02/2024,South,Monitor,Alice,3,191,Office,573,410.3574412,162.64,2024,Feb,2
8/01/2024,South,Monitor,Grace,4,144,Office,576,433.6682831,142.33,2024,Jan,1
9/04/2024,South,Mobile,Alice,2,291,Electronics,582,378.9352015,203.06,2024,Apr,4
8/04/2024,North,Smartwatch,Bob,4,148,Accessories,592,491.2106171,100.79,2024,Apr,4
27/10/2024,South,Smartwatch,David,2,303,Accessories,606,401.6715724,204.33,2024,Oct,10
5/04/2024,South,Camera,,1,611,Electronics,611,512.6321123,98.37,2024,Apr,4
26/12/2024,North,Camera,Charlie,1,613,Electronics,613,368.1690957,244.83,2024,Dec,12
23/08/2024,East,Mobile,Eva,1,620,Electronics,620,405.9801419,214.02,2024,Aug,8
8/10/2024,North,Headphones,Frank,4,156,Accessories,624,421.3821111,202.62,2024,Oct,10
29/01/2024,North,Monitor,Eva,2,313,Office,626,459.511945,166.49,2024,Jan,1
18/06/2024,East,Laptop,David,3,215,Electronics,645,493.173693,151.83,2024,Jun,6
9/02/2024,North,Monitor,Charlie,5,129,Office,645,546.5759446,98.42,2024,Feb,2
19/06/2024,East,Tablet,Grace,1,656,Electronics,656,396.4766028,259.52,2024,Jun,6
9/07/2024,North,Mobile,Frank,5,132,Electronics,660,468.3835059,191.62,2024,Jul,7
18/11/2024,,Printer,,2,334,Office,668,585.3978864,82.60,2024,Nov,11
12/11/2024,East,Monitor,Frank,2,341,Office,682,472.6059957,209.39,2024,Nov,11
5/01/2024,North,Mobile,David,2,344,Electronics,688,452.6605542,235.34,2024,Jan,1
21/02/2024,South,Printer,Eva,4,176,Office,704,494.2688692,209.73,2024,Feb,2
7/10/2024,South,Smartwatch,Bob,1,705,Accessories,705,429.2006743,275.80,2024,Oct,10
8/08/2024,South,Smartwatch,Bob,4,178,Accessories,712,634.5078259,77.49,2024,Aug,8
11/01/2024,West,,Alice,1,728,Office,728,552.0757114,175.92,2024,Jan,1
12/03/2024,West,Smartwatch,Frank,3,243,Accessories,729,445.2431065,283.76,2024,Mar,3
16/04/2024,South,Monitor,Charlie,4,187,Office,748,563.0439098,184.96,2024,Apr,4
9/01/2024,East,Smartwatch,Grace,1,763,Accessories,763,671.0617799,91.94,2024,Jan,1
22/04/2024,South,Tablet,Frank,1,765,Electronics,765,589.0350091,175.96,2024,Apr,4
3/03/2024,North,Camera,Alice,1,788,Electronics,788,607.7863784,180.21,2024,Mar,3
24/02/2024,East,Printer,Frank,3,263,Office,789,505.5306485,283.47,2024,Feb,2
28/07/2024,North,Printer,Grace,1,799,Office,799,657.7348151,141.27,2024,Jul,7
1/11/2024,South,Smartwatch,Bob,1,801,Accessories,801,498.5295617,302.47,2024,Nov,11
14/10/2024,South,Smartwatch,David,3,268,Accessories,804,498.1941093,305.81,2024,Oct,10
10/07/2024,North,Camera,Grace,1,812,Electronics,812,619.9171502,192.08,2024,Jul,7
31/05/2024,East,Laptop,Eva,6,136,Electronics,816,668.9508209,147.05,2024,May,5
21/07/2024,East,Printer,Hannah,2,417,Office,834,594.5978469,239.40,2024,Jul,7
12/10/2024,South,Monitor,Eva,3,280,Office,840,660.0103184,179.99,2024,Oct,10
20/03/2024,North,Mobile,Bob,4,212,Electronics,848,738.5530368,109.45,2024,Mar,3
15/11/2024,North,Laptop,David,5,170,Electronics,850,541.1981665,308.80,2024,Nov,11
